ジョブコード,ジョブ名,請求先,契約形態,ジョブ種別,確度,状態,営業カンパニー,営業部門,制作カンパニー,制作部門,営業担当者,案件担当者,受注予定日,納品予定日,請求額,媒体費,売上,外注費,社売,社内原価,利益
MPJ-020278-020,既存サイト改善（2026年9月分）,株式会社YZA,準委任契約,制作（構築）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,山口航,岡田奈緒,2026/9/1,2026/9/30,150000,0,150000,20000,130000,15000,115000
MPJ-020399-030,データクレンジング（2026年11月分）,株式会社BCD,派遣契約,制作（運用）,C,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,石井誠,遠藤里奈,2026/11/1,2026/11/30,180000,0,180000,10000,170000,12000,158000
MPJ-020488-040,BIダッシュボード導入（2026年10月分）,株式会社EFG,請負契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,藤原亮,村上紗季,2026/10/1,2026/10/31,760000,0,760000,90000,670000,80000,590000
MPJ-020488-041,BIダッシュボード導入（2026年12月分）,株式会社EFG,請負契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,藤原亮,村上紗季,2026/12/1,2026/12/31,820000,0,820000,95000,725000,85000,640000
MPJ-020577-050,受注前提検証（2027年1月分）,株式会社HIJ,準委任契約,制作（調査）,C,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,小川修,池田真帆,2027/1/1,2027/1/31,0,0,0,0,0,0,0
MPJ-020633-060,保守運用支援（追加：2026年4月分）,株式会社KLM,準委任契約,制作（運用）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,本田翔太,青木遥,2026/4/1,2026/4/30,420000,0,420000,30000,390000,50000,340000
MPJ-020633-061,保守運用支援（追加：2026年5月分）,株式会社KLM,準委任契約,制作（運用）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,本田翔太,青木遥,2026/5/1,2026/5/31,420000,0,420000,30000,390000,50000,340000
MPJ-020633-062,保守運用支援（追加：2026年6月分）,株式会社KLM,準委任契約,制作（運用）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,本田翔太,青木遥,2026/6/1,2026/6/30,420000,0,420000,30000,390000,50000,340000
MPJ-020700-070,LP改善（2026年7月分）,株式会社NOP,請負契約,制作（構築）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,西村淳,原田愛,2026/7/1,2026/7/31,210000,0,210000,15000,195000,20000,175000
MPJ-020811-080,販促動画制作（2026年8月分）,株式会社QRS,請負契約,制作（クリエイティブ）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,加藤悠,森千尋,2026/8/1,2026/8/31,560000,0,560000,240000,320000,90000,230000
MPJ-020811-081,販促動画制作（2026年8月分）,株式会社QRS,請負契約,制作（クリエイティブ）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,加藤悠,森千尋,2026/8/1,2026/8/31,140000,0,140000,60000,80000,20000,60000
MPJ-020955-090,年度末刷新対応（2027年3月分）,株式会社TUV,準委任契約,制作（構築）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,坂本達也,今井結衣,2027/3/1,2027/3/31,1250000,0,1250000,150000,1100000,170000,930000
MPJ-021044-100,分析環境移行（2026年10月分）,株式会社WXY,準委任契約,制作（移行）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,松田亮介,久保美優,2026/10/1,2026/10/31,480000,0,480000,50000,430000,60000,370000
MPJ-021044-101,分析環境移行（2027年1月分）,株式会社WXY,準委任契約,制作（移行）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,松田亮介,久保美優,2027/1/1,2027/1/31,520000,0,520000,50000,470000,65000,405000
MPJ-021177-110,監査レポート作成（2026年12月分）,株式会社ZAB,準委任契約,制作（調査）,C,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,大野聡,福田栞,2026/12/1,2026/12/31,310000,0,310000,10000,300000,45000,255000
